ID,状態,レベル,ジャンル,問題,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,元のCanvaデザイン,備考
D02-08,出題中,小学生,ことわざ,ことわざ「商いは牛のよだれ」の意味は？,お金は牛のように大切にあつかうべき,少しずつコツコツと商売を続けることが大切,商売は牛を売るのが一番もうかる,牛はよだれが多い,少しずつコツコツと商売を続けることが大切,牛のよだれは細く長く、だらだらと切れずに続きます。商売もそれと同じで、いっぺんに大もうけをねらうより、気長に少しずつ続けるほうがうまくいく、という教えです。,Canva「お金のクイズ」ことわざ編,
D02-09,出題中,小学生,ことわざ,「虎の子」といえば、どんなお金のこと？,お金を守る虎のような力,大切にしている大事なお金や財産,虎のように強いお金持ち,動物園の入場料,大切にしている大事なお金や財産,虎は自分の子どもをとても大事に育てるといわれています。そこから「手放したくない大切なもの」、とくにコツコツためた大事なお金を「虎の子」とよぶようになりました。「虎の子の貯金」のように使います。,Canva「お金のクイズ」ことわざ編,
D02-10,出題中,小学生,ことわざ,「金の成る木」の意味は？,お金を生み出してくれる財産や仕組み,お金が実る本物の木,お金持ちの庭にある木,お金をかくす木,お金を生み出してくれる財産や仕組み,放っておいてもお金が入ってくるもののたとえです。じつは「金のなる木」という名前の植物も本当にあって（葉っぱが丸くてぷっくりしている多肉植物）、水やりを工夫すると花もさきますよ。,Canva「お金のクイズ」ことわざ編,
D02-11,出題中,小学生,ことわざ,ことわざ「貧すれば鈍する」の意味は？,お金がなくなると心にゆとりがなくなり、判断がにぶる,貧乏な人は動きがおそい,お金がないと足がおそくなる,貧乏でも心はゆたか,お金がなくなると心にゆとりがなくなり、判断がにぶる,アメリカのプリンストン大学の研究では、お金の心配をかかえていると、頭のはたらきがIQで13ポイントほど下がるといわれています。これは徹夜明けと同じくらい！ だからこそ、ふだんからお金の知識を身につけておくことが大事なのです。,Canva「お金のクイズ」ことわざ編,
D02-12,出題中,小学生,ことわざ,「宵越しの金は持たない」。これはどういう意味？,どろぼうが来るから、夜にお金を持ち歩いてはいけない,江戸っ子は、その日にかせいだお金をその日のうちに使うのがかっこいいとされた,夜はお金を数えてはいけない,夜に買い物をしてはいけない,江戸っ子は、その日にかせいだお金をその日のうちに使うのがかっこいいとされた,「宵越し」は次の日まで持ちこすこと。江戸時代の町の人は、お金にこだわらず、その日のうちにパッと使うのが「粋」だとされていました。かっこいいけれど、今の時代にまねするのはおすすめしません。,Canva「お金のクイズ」ことわざ編,
D02-13,出題中,小学生,ことわざ,英語のことわざ「Don't put all your eggs in one basket.（卵を一つのかごに入れるな）」が教えていることは？,一つのかごにまとめたほうが持ちやすい,全部を1か所に集めると、失敗したときに全部なくなる。だから分けておこう,卵はみんなに分けてあげよう,かごは一つあれば十分,全部を1か所に集めると、失敗したときに全部なくなる。だから分けておこう,卵を全部一つのかごに入れて、そのかごを落としたら全部われてしまいます。お金も同じで、1か所にまとめず分けておくと、一つがダメになっても全部は失いません。これを「分散」といって、投資の基本の考え方です。,Canva「お金のクイズ」ことわざ編／「海外ことわざ編」,
D03-01,出題中,小学生,銀行・ためる,「へそくり」の「へそ」は、もともと何のこと？,おなかの「おへそ」,家の中心という意味,麻の糸のこと,「へそまがり」の「へそ」,麻の糸のこと,昔のことばで「綜麻」といえば細い麻の糸のこと。昔の女性が家事の合間に麻糸をつむぎ、それを売って得た小さなお金を少しずつためていたことが、「へそくり」のはじまりといわれています。,Canva「へそくりお金のクイズ」,
D03-02,出題中,小学生,銀行・ためる,へそくりが生まれた背景として正しいのは？,女性が家事の合間に内職（家でできる仕事）をしていた,江戸時代は副業がOKだった,お祭りのためのお金だった,殿様の命令で始まった,女性が家事の合間に内職（家でできる仕事）をしていた,昔の家では、お金の管理は夫（家の主人）がして、妻が自由に使えるお金は少ないのがふつうでした。その中で、麻糸をつむぐ・ぬい物をする・野菜や小物を売る、といった細かい仕事で得たお金が、女性が自分で使える数少ないお金だったのです。,Canva「へそくりお金のクイズ」,
D03-03,出題中,小学生,銀行・ためる,江戸時代のへそくりの主な目的は？,ぜいたく品を買うため,もしものときに家族を守るため,料理の材料を買い足すため,旅行に行くため,もしものときに家族を守るため,夫が病気になったとき、子どもの医療費、生活が苦しいときの補い…。へそくりはぜいたくのためではなく、「家族を支える最後のとりで」でした。私たちのご先祖さまも、へそくりで家族を守っていたのかもしれませんね。,Canva「へそくりお金のクイズ」,
D03-04,出題中,おとな向け,銀行・ためる,明治〜昭和の前半にへそくりが広がった理由は？,サラリーマン文化と家計管理（やりくり）が広まった,宝くじが広まった,銀行口座を持つ人が減った,お金が木に生えるようになった,サラリーマン文化と家計管理（やりくり）が広まった,この時代、とくに都会では毎月決まったお給料をもらう「サラリーマン」がふえました。お給料を封筒や袋に分けて生活費をやりくりするスタイルが広まり、「やりくりの工夫→少し余ったお金→へそくり」という流れが自然に生まれたのです。,Canva「へそくりお金のクイズ」,
D03-05,出題中,小学生,銀行・ためる,今の時代のへそくりの特徴として正しいのは？,たんすの奥に現金をかくすのが主流,ネット銀行やキャッシュレスでためる人が多い,家の庭にうめることが多い,今はへそくりをする人はいない,ネット銀行やキャッシュレスでためる人が多い,たんす預金は昭和までのスタイル。今はスマホで開けるネット銀行やポイントなど、「目に見えにくい」デジタルなへそくりが主流です。庭にうめるのは時代劇の中だけ。ぬすまれたり場所をわすれたりするので、おすすめしません。,Canva「へそくりお金のクイズ」,
D03-06,出題中,おとな向け,銀行・ためる,今のへそくりでふえている「見えにくいため方」とは？,NISA（ニーサ）の自動積立にする,宝くじに使う,競馬に使う,ガチャガチャに使う,NISA（ニーサ）の自動積立にする,NISAは投資でふえたお金に税金がかからない制度。毎月自動でお金がつみたてられるので、気づかないうちに「たまる」仕組みです。宝くじや競馬は「当たればラッキー」のギャンブルで、お金を使う行為。ためるのが目的のへそくりとは正反対です。,Canva「へそくりお金のクイズ」,
D03-07,出題中,小学生,銀行・ためる,へそくりの文化は、日本だけにある？,日本だけ,中国だけにもある,中国・韓国・アメリカなど世界中にある,ヨーロッパだけにもある,中国・韓国・アメリカなど世界中にある,中国では「私房钱」、韓国では「비자금（秘密資金）」、英語では「secret stash（秘密のかくし金）」や「rainy-day money（雨の日＝困ったときのためのお金）」といいます。困ったときのそなえとして家族に内緒でためる…世界中の人が同じことを考えているんですね。,Canva「へそくりお金のクイズ」,
D04-01,出題中,小学生,せかいのお金,お金の材料になったことが「ない」ものはどれ？,土,水,木,プラスチック,水,水はこぼれる・重い・かわいてなくなる…とお金としては使いにくいですね。昔は木のお金や貝のお金、石のお金もありました。土は固めて粘土板のような形で使われたことがあります。今は紙・金属・プラスチックがよく使われています。,Canva「みらいポケット⑤クイズ大会」,
D04-02,出題中,小学生,日本のお金,日本のお札は、何でできている？,紙,プラスチック,布,木,紙,だから「紙幣」とよばれます。ただのコピー用紙とはちがい、「三椏」という植物をまぜてとても丈夫に作られているので、まちがえて洗濯機で回してもボロボロになりにくいのです。オーストラリアなど、プラスチックのお札を使っている国もあります。,Canva「みらいポケット⑤クイズ大会」,
D04-03,出題中,小学生,せかいのお金,世界で最初に紙のお金が使われた国はどこ？,イタリア,インドネシア,日本,中国,中国,今から1000年ほど前、中国の「宋」という王朝の時代に世界で初めて紙のお金が使われました。紙のお金は軽くて便利ですが、にせものを作る人も…。にせ札を作った人は死刑になることもあったそうです。,Canva「みらいポケット⑤クイズ大会」／「お金のクイズ大会」,
D04-04,出題中,小学生,ぜいきん,100円のおかしを買ったとき、レジではらうお金はいくら？,100円,108円,110円,200円,108円,買い物をすると「消費税」という税金がかかります。食べ物や新聞は8％、それ以外は10％。100円のおかしなら8円の消費税がついて108円です。集まった税金は、年金・医療・子育てなど、みんなの生活を支えるために使われます。,Canva「みらいポケット⑤クイズ大会」,
D04-05,出題中,小学生,ものの値段,日本で初めてのガチャガチャは、1回いくらだった？,1円,10円,50円,100円,10円,1965年ごろにアメリカから「ガムボールマシン」がやってきて、それを日本の会社が発展させたのがガチャガチャ。はじめは1回10円で、中身はけしごむや小さなおもちゃでした。そのあと20円→50円→100円と上がり、今は300円や500円のものも。今では世界中で大人気です。,Canva「みらいポケット⑤クイズ大会」／「お金のクイズ 幼児用」,
D04-06,出題中,小学生,ものの値段,100円で買えるものの量は、物価（ものの値段）が上がるとどうなる？,ふえる（たくさん買える）,減る（少ししか買えない）,変わらない,ゼロになる,減る（少ししか買えない）,100円のりんごが150円になると、100円ではりんごが買えなくなります。同じ100円でも、物価が上がると買えるものは減ってしまう。つまり「お金の価値が下がった」ということです。,Canva「みらいポケット⑤クイズ大会」／「お金のクイズ大会」,
D04-07,出題中,小学生,ものの値段,商品の値段が上がり続けることを何という？,デフレ,バブル,インフル,インフレ,インフレ,「インフレーション」の略で、ものの値段がどんどん上がり、お金の価値が下がることです。反対に、ものの値段がどんどん下がってお金の価値が上がるのが「デフレ」。インフルはかぜの仲間の病気ですね。,Canva「みらいポケット⑤クイズ大会」／「お金の授業クイズ集」,
D04-08,出題中,小学生,ものの値段,ものの値段がどんどん下がって、お金の価値が上がることを何という？,デフレ,バブル,インフレ,円安,デフレ,「デフレーション」の略。値段が下がるのは買う人にはうれしそうですが、会社のもうけが減ってお給料も下がり、さらにものが売れなくなる…という悪い流れになりやすいのです。日本は長い間デフレでしたが、最近は値段が上がるインフレになっています。,Canva「みらいポケット⑤クイズ大会」,
D04-09,出題中,小学生,ものの値段,経済のことばの「バブル」を日本語にすると？,シャボン玉（あわ）,大きな風船,海の波,雪だるま,シャボン玉（あわ）,ものの値段が本当の価値より高くなりすぎた状態を、ふくらんだシャボン玉にたとえて「バブル」といいます。たとえば定価5万円のゲーム機が「みんなほしい！」で10万円以上になるような状態。でもシャボン玉はふくらみすぎるといつかはじけて、急に売る人がふえて値段が一気に下がります。これが「バブル崩壊」です。,Canva「みらいポケット⑤クイズ大会」／「お金の授業クイズ集」,
D04-10,出題中,小学生,銀行・ためる,銀行にお金をあずけておくと、お礼に少しだけお金をもらえます。このお金を何という？,税金,おこづかい,利息,お年玉,利息,1万円を銀行にあずけると、1年後に利息がついて1万40円くらいになります（金利0.4％のとき）。この「0.4％」のことを金利といいます（2026年8月時点、三菱UFJ銀行など大手銀行）。2023年までは金利が0.001％で、1万円あずけても利息はたったの0.1円でした。,Canva「みらいポケット⑤クイズ大会」,
D04-11,出題中,小学生,銀行・ためる,銀行の主な役割として正しいものはどれ？,品物を仕入れて売る,新しいお札を印刷する,あずかったお金を金庫にしまっておく,人や会社にお金を貸す,人や会社にお金を貸す,銀行は私たちがあずけたお金を、家を買いたい人や工場を作りたい会社に貸して、利息をもらっています。そのもうけの一部が、あずけた人への利息になるのです。お札を印刷するのは国立印刷局の仕事です。,Canva「みらいポケット⑤クイズ大会」,
D04-12,出題中,小学生,せかいのお金,日本では「円」、アメリカでは「ドル」が使われています。1ドルを買うのに100円だったのが150円必要になることを何という？,円安,円高,為替,インフレ,円安,1ドルを買うのにより多くの円が必要になった＝ドルにくらべて円の価値が「安く」なった、ということです。2010年ごろは1ドル80円くらいでしたが、2026年9月15日の相場は1ドル＝155.0円。円安になると外国のものや海外旅行が高くなります。為替は円とドルを交換するときのレートそのもののことで、その動いた向きを表すことばが円安・円高です。「数字が大きくなる＝円安」と覚えましょう。,Canva「みらいポケット⑤クイズ大会」,為替・金相場・日付の差し込みあり（画面では最新の相場で表示）
D05-01,出題中,小学生,はたらく・お給料,求人票に「月給20万円」と書いてありました。実際に銀行にふりこまれる金額は？,そのまま20万円,20万円より少ない,20万円より多い,月によってちがう,20万円より少ない,お給料からは、税金（所得税・住民税）や社会保険料（年金・健康保険など）があらかじめ引かれます。20万円なら、手元に残るのは16万円前後。この引かれたあとの金額を「手取り」といいます。,Canva「給料お金のクイズ」,
D05-02,出題中,小学生,はたらく・お給料,お給料の話でよく聞く「手取り」とは、どれのこと？,求人票に書いてある月給の金額,会社が計算して引いてくれる金額,実際に自分の口座に入る金額,手でもらう現金のこと,実際に自分の口座に入る金額,手取り＝実際にもらえるお金。求人票の「月給」から税金や社会保険料を引いた残りです。生活の計画を立てるときは、月給ではなく手取りで考えるのが大事です。,Canva「給料お金のクイズ」,
D05-03,出題中,おとな向け,はたらく・お給料,月給が同じ2人がいます。手取りの金額について「まちがっている」のは？,2人とも絶対に同じ,住んでいる場所で変わる,家族構成によって変わる,加入している保険で変わる,2人とも絶対に同じ,住民税は住んでいる市町村で少しちがい、養っている家族がいると税金が安くなる「扶養控除」もあります。同じ月給でも、手取りは人によって変わるのです。,Canva「給料お金のクイズ」,
D05-04,出題中,おとな向け,はたらく・お給料,会社員（サラリーマン）の税金のはらい方として正しいのは？,全部自分で申告してはらう,会社がお給料から引いてはらってくれる,バレるまではらわなくていい,税金ははらわなくていい,会社がお給料から引いてはらってくれる,これを「源泉徴収」といいます。ただし会社員でも、ふるさと納税・住宅ローン減税・副業・医療費がたくさんかかった年などは、自分で「確定申告」をするとお金がもどってくることがあります。,Canva「給料お金のクイズ」,
D05-05,出題中,おとな向け,はたらく・お給料,求人票に「月給25万円（固定残業代30時間分をふくむ）」と書いてありました。その月の残業が20時間だったら、お給料はどうなる？,10時間分の残業代（割増）が引かれる,10時間分の給料（割増なし）が引かれる,月給25万円のまま,残業20時間分が追加でもらえる,月給25万円のまま,固定残業代とは、実際に残業してもしなくても、あらかじめ決めた時間分をお給料にふくめてはらう仕組み。30時間より少なくても引かれませんし、逆に30時間をこえた分は追加ではらわれます。例外として、夜10時以降の深夜残業代は別にはらわれます。,Canva「給料お金のクイズ」,
D06-01,出題中,小学生,せかいのお金,お金がなかった時代、人はほしいものをどうやって手に入れていた？,人々交換,物々交換,時間交換,お気持ち交換,物々交換,自分が持っている物（りんごなど）と、相手が持っている物（魚など）を直接とりかえることです。でも、おたがいがほしい物を持っているとはかぎらず、とても不便でした。この不便さをなくすために生まれたのが「お金」なのです。,Canva「お金のクイズ大会」,
D06-02,出題中,小学生,はたらく・お給料,相撲界の頂点「横綱」。2024年の横綱照ノ富士の年収はいくらくらいだった？,"約4,800万円","約6,600万円",約1億円,"約1億5,000万円",約1億円,"横綱の月給は300万円（年3,600万円）。それに優勝賞金（1回1,000万円）や懸賞金、力士褒賞金などが上乗せされます。照ノ富士の2024年は、6つの場所のうち4つ休んで2つ優勝して約1億円でした。照ノ富士は2025年1月に引退し、今の横綱は豊昇龍と大の里。2027年1月からは横綱の月給が330万円、優勝賞金が2,000万円に上がります（日本相撲協会が2026年に決定）。ちなみにプロ野球選手の平均は約4,000万円、大谷翔平選手は10年で7億ドル＝2026年9月15日の相場なら約1,085億円！",Canva「お金のクイズ大会」,為替・金相場・日付の差し込みあり（画面では最新の相場で表示）
D06-03,出題中,小学生,せかいのお金,アメリカのお金「ドル」を漢字で書くと？（ヒント：ドルのマーク「$」の形）,取,米円,度留,弗,弗,「$」のマークと見た目がそっくりなので、この漢字が選ばれました。「弗」は本来「フツ」と読む漢字で、歯みがき粉などに入っている「フッ素（弗素）」にも使われています。,Canva「お金のクイズ大会」,
D06-04,出題中,小学生,日本のお金,2024年に発行された新しいお札は、角度を変えると人物の顔の絵が…？,消える,動いて見える,分身して見える,大きく見える,動いて見える,「ストライプ型ホログラム」という最先端の技術で、顔の絵が3Dで表現され、角度によってくるっと回転して見えます。この技術をお札に使ったのは世界で初めて！ にせ札を作られないようにするための工夫です。家にあったら、ぜひかたむけて見てみてください。,Canva「お金のクイズ大会」,
D06-05,出題中,小学生,ぜいきん,ポテトチップスなど体によくない食べ物に税金をかける「ポテトチップス税」がある国は？,ハンガリー,日本,中国,オーストラリア,ハンガリー,「国民に健康になってほしい」という願いで、塩や砂糖の多いおかしに税金をかけています。フランス・メキシコ・アメリカにも「砂糖税・ソーダ税」という似た税金があり、世界保健機関（WHO）もおすすめしています。税金には「お金を集める」だけでなく「人の行動を変える」役割もあるのです。,Canva「お金のクイズ大会」解説より,
D06-06,出題中,小学生,ぜいきん,結婚していない人から税金をとる「独身税」。昔、この税金があった国は？,ブルガリア,日本,アメリカ,中国,ブルガリア,1968年から1989年までの21年間、子どもが減っていたブルガリアで「結婚して家庭を持ってほしい」と独身の人から税金をとっていました。ところが税金のせいでお金がなくなり、生まれる子どもはかえって減ってしまい、廃止に…。税金の使い方をまちがえると逆効果になる例です。,Canva「お金のクイズ大会」解説より,
D06-07,出題中,小学生,ぜいきん,日本に「うさぎ税」があったのは、いつの時代？,江戸時代,明治時代,昭和時代,平成時代,明治時代,1873年（明治6年）ごろ、うさぎを飼うのが大流行。めずらしいうさぎが今のお金で何百万円にもなり、にせもの売りやサギもふえました。そこで東京では、うさぎ1羽につき毎月税金をとって流行を落ち着かせたのです。流行がおさまると、数年でなくなりました。,Canva「お金のクイズ大会」解説より,
D07-01,出題中,小学生,せかいのお金,昔のドイツで、お金が足りなくなって作られた「ノートゲルト」というお金。何でできていた？,木,水,氷,砂,木,約100年前のドイツでは戦争のあとでお金が足りなくなり、町ごとに木や布、皮などで「ノートゲルト（緊急のお金）」を作りました。世界には石のお金「フェイ」や貝のお金もあり、オーストラリアには真ん中がとうめいなプラスチックのお札もあります。,Canva「お金のクイズ 幼児用」,
D07-02,出題中,小学生,ものの値段,1963年にできた赤い建物「神戸ポートタワー」。建てるのにかかったお金は？,約1億円,約3億円,約30億円,約300億円,約3億円,高さ108mの神戸のシンボルで、「鉄塔の美女」ともよばれています。1963年の3億円は、今のお金にすると何十億円にもなります。昔と今では、お金の価値が大きくちがうのです。,Canva「お金のクイズ 幼児用」,
D08-01,出題中,小学生,ことわざ,英語のことわざ「Time is money.（タイム イズ マニー）」の意味は？,お金を使えば時間が買える,時間はお金と同じくらい大切。ムダにしないように,時間があればお金がふえる,時計はとても高い,時間はお金と同じくらい大切。ムダにしないように,「時は金なり」と日本語でもいいます。時間はお金と同じくらい（それ以上に）貴重なもの。お金はあとから取りもどせますが、過ぎた時間は二度ともどってきません。,Canva「お金のクイーズ(海外ことわざ編)」,
D08-02,出題中,小学生,ことわざ,英語のことわざ「A penny saved is a penny earned.（ア ペニー セイヴド イズ ア ペニー アーンド）」の意味は？,お金をためるのは、かせぐのと同じくらい価値がある,1ペニーはとても安い,お金はためるより使え,ペニーを拾うとラッキー,お金をためるのは、かせぐのと同じくらい価値がある,直訳は「1ペニーの節約は1ペニーの収入」。ペニーはイギリスやアメリカの一番小さいお金の単位です。ムダづかいをやめて100円残すのは、100円かせいだのと同じ、ということ。,Canva「お金のクイーズ(海外ことわざ編)」,
D08-03,出題中,小学生,ことわざ,英語のことわざ「Money doesn't grow on trees.（マニー ダズント グロー オン トゥリーズ）」の意味は？,木からお金が生えることもある,お金は自然には手に入らない。努力が必要,木を植えるとお金持ちになれる,お金は森で見つかる,お金は自然には手に入らない。努力が必要,直訳は「お金は木に生えない」。おうちの人が「お金は木になるものじゃないのよ」と言うときと同じで、お金はだれかがはたらいて生み出したもの、ということを教えています。,Canva「お金のクイーズ(海外ことわざ編)」,
D08-04,出題中,小学生,ことわざ,"英語のことわざ「Easy come, easy go.（イージー カム、イージー ゴウ）」の意味は？",お金は意外と手に入りやすい,簡単に手に入ったお金は、すぐになくなってしまう,お金は簡単に行ったり来たりする,楽してかせぐのが一番,簡単に手に入ったお金は、すぐになくなってしまう,直訳は「得やすいものは失いやすい」。苦労して手に入れたお金は大事に使いますが、楽に手に入ったお金はついムダづかいしてしまう…人間のそんな性質をあらわしたことわざです。,Canva「お金のクイーズ(海外ことわざ編)」,
D08-05,出題中,小学生,ことわざ,ドイツのことわざ「Geld allein macht nicht glücklich.（ゲルト アライン マハト ニヒト グリュックリヒ）」の意味は？,お金だけでは幸せになれない,お金があれば幸せになれる,お金は幸せを作る,ドイツ人はお金が好き,お金だけでは幸せになれない,お金は大事だけど、心のゆたかさも同じくらい大切、という教え。フランスにも「L'argent ne fait pas le bonheur.（お金は幸せを作らない）」というそっくりなことわざがあります。世界共通の考え方なんですね。,Canva「お金のクイーズ(海外ことわざ編)」,
